Entidad federativa,Total,Primaria,Secundaria,Media superior,Superior,Year
Estados Unidos Mexicanos,28569473,14792528,5349659,2955783,2047895,2000
Estados Unidos Mexicanos,31085098,14548194,5979256,3658754,2446726,2005
Estados Unidos Mexicanos,32835292,14887845,6137546,4187528,2981313,2010
Estados Unidos Mexicanos,34531661,14250425,6835245,4985080,3648945,2015
Estados Unidos Mexicanos,33612855,13677465,6394720,4985005,4030616,2020
Estados Unidos Mexicanos,32978888,13464424,6305013,4861091,4004062,2021
Aguascalientes,292823,152340,53519,29490,21015,2000
Aguascalientes,333656,156150,64767,37296,27936,2005
Aguascalientes,357789,160233,68368,44733,36729,2010
Aguascalientes,389337,157794,75127,57720,47602,2015
Aguascalientes,400455,160480,74675,56636,53687,2020
Aguascalientes,400104,159517,74567,55464,54936,2021
Baja California,657601,349798,123300,62384,47652,2000
Baja California,792543,382695,151452,91903,63262,2005
Baja California,882332,404354,170949,117878,85391,2010
Baja California,952731,385387,196704,149527,114543,2015
Baja California,951597,384953,186104,147224,129251,2020
Baja California,936578,380539,185745,140287,131320,2021
Baja California Sur,125269,60953,23752,15772,8020,2000
Baja California Sur,152476,68029,27779,20926,14660,2005
Baja California Sur,179806,80703,32555,25039,16942,2010
Baja California Sur,199571,80875,39223,30661,22330,2015
Baja California Sur,210438,83662,40608,33870,23997,2020
Baja California Sur,204256,82697,40815,32314,22750,2021
Campeche,211818,106834,39186,23082,15787,2000
Campeche,224562,105032,41968,28499,19876,2005
Campeche,238388,107146,43526,29972,24307,2010
Campeche,249302,102279,48532,34500,27338,2015
Campeche,248444,100121,45736,36601,28388,2020
Campeche,242731,98844,44924,35658,28727,2021
Coahuila de Zaragoza,667272,322701,127188,69773,60762,2000
Coahuila de Zaragoza,742320,336028,142697,82432,67268,2005
Coahuila de Zaragoza,810668,364594,148731,96895,81779,2010
Coahuila de Zaragoza,840200,337794,171861,114277,95595,2015
Coahuila de Zaragoza,856439,329075,157186,117561,115626,2020
Coahuila de Zaragoza,844463,323947,157052,113880,113565,2021
Colima,157863,76982,30379,17084,13814,2000
Colima,161987,72351,29934,20497,15164,2005
Colima,178220,77035,32810,25532,19074,2010
Colima,191826,78751,37298,28595,22182,2015
Colima,186651,74563,34808,30173,21189,2020
Colima,183256,72904,34998,28798,21455,2021
Chiapas,1270128,728696,194307,109953,44905,2000
Chiapas,1469046,762096,254102,153664,58717,2005
Chiapas,1579714,768271,286965,190591,69989,2010
Chiapas,1697602,781031,312187,231362,81137,2015
Chiapas,1680059,797498,297774,214534,78489,2020
Chiapas,1659818,793492,292353,208983,81378,2021
Chihuahua,830289,453007,143937,83809,60253,2000
Chihuahua,916671,439339,170166,111095,78253,2005
Chihuahua,970405,442155,177021,128494,98689,2010
Chihuahua,1017437,429694,190865,149637,124085,2015
Chihuahua,1010549,410612,191704,146581,137363,2020
Chihuahua,1001254,411264,193255,142814,132718,2021
Ciudad de México,2574817,1019873,484724,395387,388349,2000
Ciudad de México,2586002,964303,498610,408855,398927,2005
Ciudad de México,2609901,942442,461252,435581,462581,2010
Ciudad de México,2664844,879568,482317,473724,530036,2015
Ciudad de México,2487737,789656,438828,455030,554990,2020
