Estado,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Total,220663459,158993234,218458195,212647164,206721117,203454538,199314020,194468371,193648326,194826936,188555549,184486485,181741407,179774108,176924993,173513844,168316545
Aguascalientes,2454060,1777812,2362712,2278677,2204985,2182283,2078932,2011334,1987158,1934332,1860672,1847122,1756627,1750629,1729622,1667837,1605796
Baja California,7003726,5027174,6993067,6903262,6658155,6403973,6119619,5929608,5835738,5635336,5432130,5278563,5249157,5288279,5094877,4965046,4741197
Baja California Sur,1615218,1108161,1562223,1459158,1389606,1344886,1319449,1275934,1255368,1285674,1216813,1151428,1109977,1131677,1052375,979709,928014
Campeche,1695645,1191451,1603856,1515141,1474644,1470868,1478520,1466634,1485599,1562818,1465087,1430444,1403600,1381407,1318296,1316055,1297756
Coahuila de Zaragoza,5580214,3954939,5344530,5253100,5132207,5059520,4916785,4878440,4887510,4832742,4658416,4351559,4338444,4409153,4314725,4141709,3916823
Colima,1495034,1025861,1428944,1416339,1357412,1328275,1297721,1285198,1286091,1314106,1247933,1217179,1190978,1191002,1099920,1082005,1041304
Chiapas,8518314,6023070,8019069,7448051,7358932,7509641,7366761,7118044,7399087,7571255,7459534,7258920,7073243,6718158,6609331,6441291,6493085
Chihuahua,6729921,4961574,6564307,6503884,6190313,6115991,5918989,5736633,5640024,5590656,5176171,5241192,5410544,5653322,5579402,5429658,5162789
Ciudad de México,16846846,11931042,17981335,17745827,17203752,17148125,16989269,16437188,16706151,16591584,16079741,15884313,15842748,16004121,16061952,16052709,15658752
Durango,3188855,2293634,3074440,2995204,2919471,2921366,2838269,2678268,2664964,2642640,2528739,2433695,2365332,2398344,2395295,2270616,2257138
Guanajuato,10535800,7658585,10465525,10380800,10048386,9952785,9594559,9459698,9365788,9278600,8768981,8470557,8265500,8107964,8083552,7989765,7764996
Guerrero,5887914,4400858,5852576,5624724,5562800,5521031,5381843,5438034,5351387,5543830,5569366,5521094,5474663,5206133,5064437,4841367,4652024
Hidalgo,5230906,3784211,5261322,5084268,4747648,4769254,4854398,4607463,4469628,4373882,4247747,4131057,4009908,3969101,3895128,3862850,3918137
Jalisco,15310325,11005399,15053591,14561039,14408831,13959213,13510794,13063069,13170427,13220661,12970251,12708605,12358539,12326090,12056773,11580563,11458225
México,29164601,20624056,29067518,28772840,27944072,27127363,27139954,26484809,25956587,26555391,25711218,24991601,24352813,23728722,23147104,23131700,22039234
Michoacán de Ocampo,8176982,5912133,8160206,7810125,7498539,7571069,7399443,7172504,7155608,7327489,7234227,6818760,6880436,6712988,6580671,6625089,6483208
Morelos,3307204,2495849,3315316,3273228,3195579,3129256,3060294,3070697,3074406,3102967,3064463,3043401,2986983,2930604,2869353,2783877,2703557
Nayarit,2418135,1778525,2270018,2248237,2172536,2111958,2066834,2006141,1992281,1997981,1928924,1953670,1899353,1810428,1746283,1706308,1665993
Nuevo León,10934545,7870432,10272112,9876393,9639663,9371972,9011401,8706006,8630793,8613299,8348961,8278677,8067941,8042943,7898891,7691572,7351111
Oaxaca,7217053,5379594,7143501,6654668,6384651,6478033,6292135,6291294,6146263,6500417,6354890,6239274,6214695,5912230,5839861,5862321,5836808
Puebla,11482955,8359162,11576876,11153000,11059455,10673307,10285209,10082890,10046293,9891040,9480606,9328093,9093591,9050683,9131630,8923375,8664293
Querétaro,3980544,2886455,3719379,3635612,3375797,3283957,3205295,2992721,2944145,2948666,2914056,2793586,2713051,2791712,2756540,2665502,2625191
Quintana Roo,3489961,2441281,3594828,3512515,3327025,3245138,3045686,2865967,2831840,2765313,2666957,2586056,2455782,2497358,2366972,2204935,2050762
San Luís Potosí,4969067,3595078,4830163,4744375,4682029,4626100,4437365,4313921,4268923,4204413,4032608,4051016,4002956,4002969,3945867,3845437,3751597
Sinaloa,5298499,3807195,5378106,5286264,5212685,5143021,5044268,4871630,4871509,4955541,4766262,4814359,4732342,4636961,4554010,4588656,4544731
Sonora,5435696,3839358,5396459,5273583,5165710,5088581,5020840,4950596,4765104,4766018,4531708,4254896,4245767,4247423,4070995,4043141,3943095
Tabasco,3745897,2677457,3777397,3581002,3533330,3584420,3514433,3538675,3511238,3485625,3488953,3380061,3376533,3343240,3290295,3111322,3036598
Tamaulipas,6350897,4569505,6309715,6164790,5966693,5928433,5719272,5651762,5662623,5718383,5547798,5369939,5367744,5441555,5325509,5210860,5017601
Tlaxcala,2326538,1685753,2337994,2239143,2187115,2148453,2079084,2011389,1997320,1935153,1862745,1816786,1813078,1778389,1758497,1736500,1683186
Veracruz de Ignacio de la Llave,12977584,9611929,12674331,12403966,12017880,11708331,11984728,11890901,12142917,12550436,11984720,11970486,11921033,11697795,11702867,11322788,10813300
Yucatán,4604128,3332198,4449580,4310371,4168340,4078794,3936981,3838138,3841449,3768259,3681606,3605254,3554713,3445612,3357411,3276692,3148115
Zacatecas,2690395,1983503,2617199,2537578,2532876,2469141,2404890,2342785,2304107,2362429,2273266,2264842,2213336,2167116,2226552,2162589,2062129
